ID,Language_ID,Parameter_ID,Form,Segments,Comment,Source
Tupinamba-878_indianwoman-1,Tupinamba,878_indianwoman,kuɲã,k u ɲ ã,,Lundgren2020
Tupinamba-1119_none-9,Tupinamba,1119_none,pi,p i,,Lundgren2020
Tupinamba-1224_pleiades-1,Tupinamba,1224_pleiades,seiʃu,s e i ʃ u,,Lundgren2020
Omagua-12_after-2,Omagua,12_after,isui,i s u i,,Lundgren2020
Kokama-20_all-1,Kokama,20_all,upi,u p i,,Lundgren2020
Tupinamba-22_already-3,Tupinamba,22_already,umuã,u m u ã,,Lundgren2020
Tupinamba-26_always-1,Tupinamba,26_always,jepi,j e p i,,Lundgren2020
Kokama-40_anylightobjectthatfloatsandisfilledwithairlikeabuoyorfishlung-1,Kokama,40_anylightobjectthatfloatsandisfilledwithairlikeabuoyorfishlung,putu,p u t u,,Lundgren2020
Kokama-96_beacolorbetweenpinkandbrownincludingyellowcolors-1,Kokama,96_beacolorbetweenpinkandbrownincludingyellowcolors,teweju,t e w e j u,,Lundgren2020
Kokama-116_bedoingsomething-1,Kokama,116_bedoingsomething,juti,j u t i,,Lundgren2020
Kokama-130_beheavy-1,Kokama,130_beheavy,iputʃi,i p u tʃ i,,Lundgren2020
Kokama-134_beinaplace-1,Kokama,134_beinaplace,juti,j u t i,,Lundgren2020
Omagua-165_bethirstyintr-1,Omagua,165_bethirstyintr,ɪjusɪ,ɪ j u s ɪ,,Lundgren2020
Kokama-178_befeelveryhot-1,Kokama,178_befeelveryhot,uki,u k i,,Lundgren2020
Tupinamba-181_beak-1,Tupinamba,181_beak,tĩ,t ĩ,,Lundgren2020
Tupinamba-216_bigandthick-2,Tupinamba,216_bigandthick,usu,u s u,,Lundgren2020
Omagua-233_blowtrans-1,Omagua,233_blowtrans,ɪpɪu,ɪ + p ɪ u,,Lundgren2020
Tupinamba-233_blowtrans-1,Tupinamba,233_blowtrans,peju,p e j u,,Lundgren2020
Kokama-237_body-1,Kokama,237_body,tsu,ts u,,Lundgren2020
Kokama-276_brotherfemaleego-1,Kokama,276_brotherfemaleego,kiwi,k i w i,,Lundgren2020
Kokama-294_burn-1,Kokama,294_burn,uki,u + k i,,Lundgren2020
Tupinamba-295_burnscald-1,Tupinamba,295_burnscald,uĩ,u ĩ,,Lundgren2020
Omagua-327_chacra-1,Omagua,327_chacra,kuu,k u u,,Lundgren2020
Kokama-328_chacrafarm-1,Kokama,328_chacrafarm,ku,k u,,Lundgren2020
Kokama-400_cousinmalefemaleego-1,Kokama,400_cousinmalefemaleego,kiwi,k i w i,,Lundgren2020
Omagua-413_cultivatetrans-1,Omagua,413_cultivatetrans,kupɪ,k u p ɪ,,Lundgren2020
Kokama-413_cultivatetrans-1,Kokama,413_cultivatetrans,kupe,k u p e,,Lundgren2020
Tupinamba-449_deathn-1,Tupinamba,449_deathn,eʔõ,e ʔ õ,,Lundgren2020
Tupinamba-454_defecateintr-3,Tupinamba,454_defecateintr,poti,p o t i,,Lundgren2020
Kokama-466_digtrans-1,Kokama,466_digtrans,tʃiwiki,tʃ i w i k i,,Lundgren2020
Tupinamba-476_disarrange-1,Tupinamba,476_disarrange,momemuã,m o m e m u ã,,Lundgren2020
Omagua-518_dust-1,Omagua,518_dust,kui,k u i,,Lundgren2020
Omagua-526_eatintrtrans-1,Omagua,526_eatintrtrans,ɪu,ɪ + u,,Lundgren2020
Kokama-526_eatintrtrans-1,Kokama,526_eatintrtrans,eju,e j + u,,Lundgren2020
Omagua-535_emitnoisesound-1,Omagua,535_emitnoisesound,ipu,i + p u,,Lundgren2020
Kokama-535_emitnoisesound-1,Kokama,535_emitnoisesound,ipu,i + p u,,Lundgren2020
Tupinamba-535_emitnoisesound-1,Tupinamba,535_emitnoisesound,pu,p u,,Lundgren2020
Omagua-545_escapeintr-1,Omagua,545_escapeintr,usuɪpɪ,u s u ɪ p ɪ,,Lundgren2020
Kokama-545_escapeintr-1,Kokama,545_escapeintr,utswepe,u ts w e p e,,Lundgren2020
Omagua-552_excrement-1,Omagua,552_excrement,tɪputi,t ɪ + p u t i,,Lundgren2020
Kokama-552_excrement-1,Kokama,552_excrement,teputi,t e + p u t i,,Lundgren2020
Tupinamba-553_excrementfeces-3,Tupinamba,553_excrementfeces,poti,p o t i,,Lundgren2020
Kokama-554_exist-1,Kokama,554_exist,emete,e m e t e,,Lundgren2020
Tupinamba-564_faintn-1,Tupinamba,564_faintn,eʔõ,e ʔ õ,,Lundgren2020
Omagua-567_fallfromaheightintr-1,Omagua,567_fallfromaheightintr,ukukui,u + k u + k u i,,Lundgren2020
Kokama-567_fallfromaheightintr-1,Kokama,567_fallfromaheightintr,ukuki,u + k u + k i,,Lundgren2020
Tupinamba-574_farsomethingvisible-1,Tupinamba,574_farsomethingvisible,uĩ,u ĩ,,Lundgren2020
Omagua-582_fatherinlaw-1,Omagua,582_fatherinlaw,tuti,t u t i,,Lundgren2020
Tupinamba-589_fecesexcrement-1,Tupinamba,589_fecesexcrement,epoti,e p o t i,,Lundgren2020
Omagua-591_feedofferfoodtrans-1,Omagua,591_feedofferfoodtrans,jupui,j u + p u i,,Lundgren2020
Kokama-594_fellowcommunitymembermalefemaleego-1,Kokama,594_fellowcommunitymembermalefemaleego,kiwi,k i w i,,Lundgren2020
Tupinamba-596_female-1,Tupinamba,596_female,kuɲã,k u ɲ ã,,Lundgren2020
Tupinamba-605_fieldmeadowsavannah-1,Tupinamba,605_fieldmeadowsavannah,ɲũ,ɲ ũ,,Lundgren2020
Tupinamba-614_finger-1,Tupinamba,614_finger,pʷã,pʷ ã,,Lundgren2020
Omagua-632_fishpoison-1,Omagua,632_fishpoison,timu,t i m u,,Lundgren2020
Kokama-633_fishpoisonlonchocarpusutilis-1,Kokama,633_fishpoisonlonchocarpusutilis,timu,t i m u,,Lundgren2020
Tupinamba-657_flea-1,Tupinamba,657_flea,tuNusu,t u ɴ u s u,,Lundgren2020
Omagua-659_float-1,Omagua,659_float,putu,p u t u,,Lundgren2020
Kokama-659_float-2,Kokama,659_float,putu,p u t u,,Lundgren2020
Omagua-662_flourmaniocflour-1,Omagua,662_flourmaniocflour,ui,u i,,Lundgren2020
Tupinamba-663_flow-1,Tupinamba,663_flow,ẽ,ẽ,,Lundgren2020
Omagua-669_flyintr-1,Omagua,669_flyintr,uwɪwɪ,u + w ɪ w ɪ,,Lundgren2020
Kokama-669_flyintr-1,Kokama,669_flyintr,uwe,u + w e,,Lundgren2020
Tupinamba-688_friend-2,Tupinamba,688_friend,mũ,m ũ,,Lundgren2020
Kokama-692_frogspleptodactyluspentadactylus-1,Kokama,692_frogspleptodactyluspentadactylus,juwe,j u w e,,Lundgren2020
Kokama-713_gatherharvesttrans-1,Kokama,713_gatherharvesttrans,ipu,i p u,,Lundgren2020
Omagua-726_giveditr-1,Omagua,726_giveditr,jumi,j u + m i,,Lundgren2020
Kokama-726_giveditr-1,Kokama,726_giveditr,jumi,j u + m i,,Lundgren2020
Omagua-733_go-1,Omagua,733_go,usu,u + s u,,Lundgren2020
Kokama-733_go-1,Kokama,733_go,utsu,u + ts u,,Lundgren2020
Tupinamba-734_goimp-1,Tupinamba,734_goimp,ekʷãi,e kʷ ã i,,Lundgren2020
Omagua-736_godownintr-2,Omagua,736_godownintr,ujupɪ,u j u p ɪ,,Lundgren2020
Kokama-736_godownintr-1,Kokama,736_godownintr,ujepe,u j e p e,,Lundgren2020
Omagua-756_grandmother-1,Omagua,756_grandmother,aNi,ã i,,Lundgren2020
Omagua-829_heavy-1,Omagua,829_heavy,ipuʃi,i p u ʃ i,,Lundgren2020
Omagua-837_hightall-1,Omagua,837_hightall,ipuku,i p u k u,,Lundgren2020
Omagua-845_honey-1,Omagua,845_honey,miʃki,m i ʃ k i,,Lundgren2020
Omagua-921_larvamaggotgrub-1,Omagua,921_larvamaggotgrub,mututu,m u t u t u,,Lundgren2020
Kokama-922_larvamaggotgrubsp-1,Kokama,922_larvamaggotgrubsp,mututu,m u t u t u,,Lundgren2020
Omagua-935_leafcutterant-1,Omagua,935_leafcutterant,kuki,k u k i,,Lundgren2020
Omagua-975_long-1,Omagua,975_long,ipuku,i + p u k u,,Lundgren2020
Kokama-975_long-1,Kokama,975_long,ipuku,i + p u k u,,Lundgren2020
Tupinamba-975_long-1,Tupinamba,975_long,puku,p u k u,,Lundgren2020
