ID,Name,Macroarea,Latitude,Longitude,Glottocode,ISO639P3code
Tupinamba,Tupinambá,South America,-22.807778,-42.106389,tupi1273,tpn
Omagua,Omagua,South America,-3.526,-69.1667,omag1248,omg
Kokama,Kokama,South America,,,coca1260,
ShuigenCentralSandong,Sandong,Eurasia,25.724479,107.92172,sand1270,
ZhongheCentralSandong,Zhonghe,Eurasia,25.817612,107.904898,sand1270,
TangzhouWesternSandong,Tangzhou,Eurasia,25.775037,107.87072,sand1270,
TingpaiWesternSandong,Tingpai,Eurasia,25.3756,107.5416,sand1270,
AntangWesternSandong,Antang,Eurasia,25.935942,108.113772,sand1270,
DujiangEasternSandong,Dujiang,Eurasia,26.009139,108.260898,sand1270,
SanjiangEasternSandong,Sanjiang,Eurasia,26.009139,108.260898,sand1270,
RenliEasternSandong,Renli,Eurasia,26.116584,108.435839,sand1270,
JiuqianSouthernSandong,Jiuqian,Eurasia,25.615405,108.030525,sand1270,
ShuiyaoSouthernSandong,Shuiyao,Eurasia,25.413123,107.969761,sand1270,
JiarongSouthernSandong,Jiarong,Eurasia,25.493343,108.183955,sand1270,
ShuiweiSouthernSandong,Shuiwei,Eurasia,25.710491,108.211043,sand1270,
Pandong,Pandong,Eurasia,26.06349,107.693696,pand1262,
JiaoliPandong,Jiaoli,Eurasia,26.059013,107.8486,pand1262,
TangnianYangAn,Tangnian,Eurasia,25.58369,107.801479,anya1244,
BanliangYangAn,Banliang,Eurasia,25.776111,107.870727,anya1244,
