ID,Name,Macroarea,Latitude,Longitude,Glottocode,ISO639P3code
a11londo,A11_Londo,Africa,4.89504,9.15209,orok1266,bdu
a121mbonge,A121_Mbonge,Africa,4.89504,9.15209,orok1266,bdu
a122bakundu,A122_Bakundu,Africa,4.89504,9.15209,orok1266,bdu
a141lefo,A141_Lefo,Africa,4.53307,9.522,bafa1247,bwt
a151nkongho,A151_Nkongho,Africa,5.33848,9.80096,nkon1247,nkc
a15ambuu,A15A_Mbuu,Africa,5.13981,9.92766,mboc1235,mbo
a15bmiengenwmanenguba,A15B_Mienge_NW_Manenguba,Africa,5.23655,9.52275,bass1260,bsi
a15cakossi,A15C_Akossi,Africa,4.9243,9.65522,akoo1248,bss
a15celungcentralmanenguba,A15C_Elung_Central_Manenguba,Africa,4.9243,9.65522,akoo1248,bss
a15cmkaa,A15C_Mkaa,Africa,4.79991,9.80402,baka1273,bqz
a15manenguba,A15_Manenguba,Africa,4.79991,9.80402,baka1273,bsi
a22bakweri,A22_Bakweri,Africa,4.24178,9.23887,mokp1239,bri
a24duala,A24_Duala,Africa,4.10208,9.61877,dual1243,dua
a27malimba,A27_Malimba,Africa,3.67696,9.67186,mali1280,mzd
a31bubi,A31_Bubi,Africa,3.53638,8.68929,bube1242,bvb
a32cbatanga,A32C_Batanga,Africa,1.397041,9.51011,bata1285,bnm
a33ayasa,A33a_Yasa,Africa,2.06043,10.678,yasa1242,yko
a34benga,A34_Benga,Africa,1.075766,9.600739,beng1282,bng
a41barombikang,A41_Barombi-Kang,Africa,4.64584,9.25261,baro1252,bbi
a42abo,A42_Abo,Africa,4.3702,9.6403,bank1256,abb
a43abasaa,A43a_Basaa,Africa,3.80765,10.4213,basa1284,bas
a44tunen,A44_Tunen,Africa,4.75,10.67,tune1261,tvu
a45nyokon,A45_Nyokon,Africa,4.75,10.5,nyok1243,nvo
a462yambeta,A462_Yambeta,Africa,4.83615,10.9369,yamb1252,yat
a46nomaande,A46_Nomaande,Africa,4.5893,10.9157,noma1260,lem
a51bafiamaja,A51_Bafia_maja,Africa,4.72603,11.0982,bafi1243,ksf
a53bafiarikpa,A53_Bafia_rikpa,Africa,4.72603,11.0982,bafi1243,ksf
a54tibea,A54_Tibea,Africa,5.30535,11.3103,tibe1274,ngy
a601tuki,A601_Tuki,Africa,4.64348,11.5353,tuki1240,bag
a61ngoroasom,A61_Ngoro-Asom,Africa,4.78874,12.824,bebe1248,bag
a61ngorobisoo,A61_Ngoro-Bisoo,Africa,4.21045,11.3935,eton1253,bag
a61ngorolunda,A61_Ngoro-lunda,Africa,4.21045,11.3935,eton1253,bag
a621nubaca,A621_Nubaca,Africa,4.35696,11.029,nuba1241,baf
a622nugunu,A622_Nugunu,Africa,4.63103,11.1837,nugu1242,yas
a62anuasue,A62A_Nuasue,Africa,4.41971,11.0277,yang1293,yav
a62anukalonge,A62A_Nukalonge,Africa,4.41971,11.0277,yang1293,yav
a62bmmala,A62B_Mmala,Africa,4.52188,11.0599,mmaa1238,mmu
a62clibie,A62C_Libie,Africa,4.45694,11.193,elip1238,ekm
a63mangisa,A63_Mangisa,Africa,4.21045,11.3935,eton1253,eto
a71eton,A71_Eton,Africa,4.21045,11.3935,eton1253,eto
a72aewondo,A72a_Ewondo,Africa,4.21141,11.93646,ewon1239,ewo
a74abulu,A74a_Bulu,Africa,3.16141,11.6365,bulu1251,bum
a75afangbitam,A75a_Fang_Bitam,Africa,1.723965,11.61454,fang1246,fan
a75afangmedouneu,A75a_Fang_Medouneu,Africa,1.723965,11.61454,fang1246,fan
a75afangminvoul,A75a_Fang_Minvoul,Africa,1.723965,11.61454,fang1246,fan
a803shiwa,A803_Shiwa,Africa,-0.091645,11.947061,shiw1234,
a81kwasio,A81_Kwasio,Africa,2.39354,10.0812,kwas1243,nmg
a832bekol,A832_Bekol,Africa,3.65994,12.8574,kolc1235,biw
a83mekaa,A83_Mekaa,Africa,4.15471,13.0789,maka1304,mcp
a841badwe,A841_Badwe,Africa,3.25933,13.54152,koon1245,ozm
a84njem,A84_Njem,Africa,2.30483,14.1175,njye1238,njy
a85bbekwilmakokou,A85b_Bekwil_Makokou,Africa,1.71801,14.6527,bekw1242,bkw
a85bbekwilmv,A85b_Bekwil_Mv,Africa,1.71801,14.6527,bekw1242,bkw
a86cmpiemo,A86c_Mpiemo,Africa,3.45776,15.5246,mpie1238,mcx
a87bomwali,A87_Bomwali,Africa,1.71005,15.9546,bomw1238,pmm
a91kwakum,A91_Kwakum,Africa,4.34393,13.6446,kwak1266,kwu
a93kako,A93_Kako,Africa,3.79989,15.6282,kako1242,kkj
aghemgrassfields,Aghem_Grassfields,Africa,6.38956,10.0807,aghe1239,agq
b11ampongwe,B11a_Mpongwe,Africa,-1.48741,9.50247,myen1241,mye
b11borungu,B11b_Orungu,Africa,-1.48741,9.50247,myen1241,mye
b11cgalwa,B11c_Galwa,Africa,-1.48741,9.50247,myen1241,mye
b11ddyumba,B11d_Dyumba,Africa,-1.48741,9.50247,myen1241,mye
b11fenenga,B11F_Enenga,Africa,-1.48741,9.50247,myen1241,mye
b201ndasa,B201_Ndasa,Africa,-2.449015,13.369465,ndas1238,nda
b202sigu,B202_Sigu,Africa,-0.95605,13.1214,sigh1238,sxe
b203samaye,B203_Samaye,Africa,-0.012,13.61,osam1235,syx
b204ndambomoli,B204_Ndambomo_Li,Africa,-0.82,12.77,ndam1254,nxo
b204ndambomomassoukou,B204_Ndambomo_Massoukou,Africa,-0.82,12.77,ndam1254,nxo
b204ndambomombadi,B204_Ndambomo_Mbadi,Africa,-0.82,12.77,ndam1254,nxo
b21seki,B21_Seki,Africa,1.52302,9.79206,seki1238,syi
b22akele,B22a_Kele,Africa,-0.78854,10.3836,kele1257,keb
b22bkoya,B22b_Koya,Africa,0.882925,14.1345,ngom1270,nra
b22bngom,B22b_Ngom,Africa,0.882925,14.1345,ngom1270,nra
b22emwesa,B22E_Mwesa,Africa,0.086134,13.30037,mwes1234,
b23mbangwe,B23_Mbangwe,Africa,-2.28729,13.5956,mban1268,zmn
b24wumbvu,B24_Wumbvu,Africa,-2.39234,12.264,wumb1242,wum
b251shake,B251_Shake,Africa,0.25188,11.787,sake1247,sak
b252mahongwe,B252_Mahongwe,Africa,0.64356,14.0472,maho1248,mhb
b25kota,B25_Kota,Africa,1.016,13.97,kota1274,koq
b301viya,B301_Viya,Africa,-1.22,10.58,eviy1235,gev
b302himba,B302_Himba,Africa,-1.28107,11.1783,simb1254,sbw
b304pinzi,B304_Pinzi,Africa,-1.90305,11.223,pinj1243,pic
b305vove,B305_Vove,Africa,-1.16762,12.32251,bubi1250,buw
b31tsogo,B31_Tsogo,Africa,-1.55469,11.1359,tsog1243,tsv
b32kande,B32_Kande,Africa,-0.00776,11.7076,kand1300,kbs
b404ngubi,B404_Ngubi,Africa,-3.433411,10.768112,ngub1239,
b41shira,B41_Shira,Africa,-1.78084,10.4635,sira1266,swj
b42sangumb,B42_Sangu_Mb,Africa,-1.52694,11.9098,sang1333,snq
b42sangumi,B42_Sangu_Mi,Africa,-1.52694,11.9098,sang1333,snq
b43punu,B43_Punu,Africa,-2.67362,11.6714,punu1239,puu
b44lumbu,B44_Lumbu,Africa,-3.37917,11.124,lumb1249,lup
b501wanzie,B501_Wanzi_E,Africa,-1.51945,12.8951,wand1266,wdd
b501wanzimo,B501_Wanzi_Mo,Africa,-1.51945,12.8951,wand1266,wdd
b503vili,B503_Vili,Africa,-2.752859,10.305563,vili1239,
b51duma,B51_Duma,Africa,-0.91927,13.0046,duma1253,dma
b51dumala,B51_Duma_La,Africa,-0.91927,13.0046,duma1253,dma
b52nzebi,B52_Nzebi,Africa,-2.18115,12.7063,njeb1242,nzb
b53tsaangipoungi,B53_Tsaangi_Poungi,Africa,-2.29245,12.7581,tsaa1242,tsa
b601lempini,B601_Lempini,Africa,-0.477445,14.2877,mber1257,mbm
b602kaninginord,B602_Kaningi_Nord,Africa,-1.71316,13.6111,kani1279,kzo
b602kaningisud,B602_Kaningi_Sud,Africa,-1.71316,13.6111,kani1279,kzo
b62mbaama,B62_Mbaama,Africa,-0.477445,14.2877,mber1257,mbm
b63ndumu,B63_Ndumu,Africa,-1.67033,13.7279,ndum1239,nmd
b701atsitsege,B701_Atsitsege,Africa,-2.03393,13.6001,tchi1245,tck
b71aibtekeibalicongo,B71aIb_Teke_Ibali_Congo,Africa,-4.20697,15.3893,ibal1241,tek
b71aletekeleconi,B71aLe_Teke_Leconi,Africa,-1.61688,14.8664,teke1275,teg
b71atekedj,B71a_Teke_Dj,Africa,-1.61688,14.8664,teke1275,teg
b71atekeos,B71a_Teke_Os,Africa,-1.61688,14.8664,teke1275,teg
b77bfumu,B77b_Fumu,Africa,-3.59003,15.5061,teke1274,ifm
b78wuumu,B78_Wuumu,Africa,-4.27,15.72,wuum1239,ifm
b81tiene,B81_Tiene,Africa,-2.84694,16.4765,tien1242,tii
b82buma,B82_Buma,Africa,-3.01,16.92,boma1251,boh
b84mbunda,B84_Mbunda,Africa,-5.21134,19.4269,mpuo1241,zmp
b85dnsongo,B85d_Nsongo,Africa,-4.55057,18.4978,song1299,soo
b85emput,B85e_Mput,Africa,-4.44304,19.3881,ding1239,yns
b85yanzi,B85_Yanzi,Africa,-3.8231,18.2341,yans1239,yns
b861ngul,B861_Ngul,Africa,-4.09816,19.5129,ngul1247,nlo
b862lwel,B862_Lwel,Africa,-4.38475,20.6314,lwel1234,
b863pindi,B863_Pindi,Africa,-4.55057,18.4978,song1299,soo
b864ngong,B864_Ngong,Africa,-5.5,18.2,ngon1267,noq
b865nzadi,B865_Nzadi,Africa,-4.102208,20.194462,nzad1234,
b86dinga,B86_Dinga,Africa,-4.44304,19.3881,ding1239,diz
b86dzing,B86_Dzing,Africa,-4.44304,19.3881,ding1239,diz
bamungrassfields,Bamun_Grassfields,Africa,5.49017,10.8477,bamu1253,bax
bilejarawan,Bile_Jarawan,Africa,8.90052,11.1907,bile1244,bil
bwazzajarawan,Bwazza_Jarawan,Africa,9.60769,12.2439,mbul1260,mbu
c101baboledz,C101_Babole_Dz,Africa,1.07773,17.2305,dibo1245,bvx
c101baboleep,C101_Babole_Ep,Africa,1.70044,17.3733,bomi1238,bvx
c101babolema,C101_Babole_Ma,Africa,1.07773,17.2305,dibo1245,bvx
c104aka,C104_Aka,Africa,3.6515,17.2713,yaka1272,axk
c105mbenga,C105_Mbenga,Africa,2.11942,20.8759,maba1270,axk
c141bonyala,C141_Bonyala,Africa,-1.23019,15.5322,mbos1242,bui
c142mondongo,C142_Mondongo,Africa,2.16773,19.1644,bamw1238,bmg
c15bongili,C15_Bongili,Africa,0.37063,16.6079,bong1284,bui
c21ngare,C21_Ngare,Africa,0.43541,14.7935,mbok1243,mdu
c22akwa,C22_Akwa,Africa,-0.39897,15.4623,akwa1248,akw
c24koyo,C24_Koyo,Africa,-0.69688,15.7508,koyo1242,koh
c25abunji,C25A_Bunji,Africa,-1.23019,15.5322,mbos1242,mdw
c25bolee,C25B_Olee,Africa,-1.23019,15.5322,mbos1242,mdw
c25condinga,C25C_Ondinga,Africa,-1.23019,15.5322,mbos1242,mdw
c25eeboyi,C25E_Eboyi,Africa,-0.69688,15.7508,koyo1242,mdw
c25mboshi,C25_Mboshi,Africa,-1.23019,15.5322,mbos1242,mdw
c302bolondo,C302_Bolondo,Africa,2.46327,19.6181,bolo1263,bzm
c322zamba,C322_Zamba,Africa,1.25,18.3,zamb1245,
c323mpama,C323_Mpama,Africa,-0.739203,17.685662,mpam1239,
c32bobangi,C32_Bobangi,Africa,-0.87437,17.227,bang1354,bni
c34sakata,C34_Sakata,Africa,-2.85653,17.9669,saka1287,skt
