ID,Name,Glottocode,Glottolog_Name,ISO639P3code,Macroarea,Family,Subfamily,Latitude,Longitude,Speakers
finnish,Finnish,finn1318,,fin,,Uralic,Finnic,62,25,5000000
northkarelian,North Karelian,kare1335,,krl,,Uralic,Finnic,64,32,35000
olonetskarelian,Olonets Karelian,livv1243,,olo,,Uralic,Finnic,61,33,31000
veps,Veps,veps1250,,vep,,Uralic,Finnic,60,35,3600
estonian,Estonian,esto1258,,ekk,,Uralic,Finnic,59,26,1290000
livonian,Livonian,livv1244,,liv,,Uralic,Finnic,57.4,21.5,40
southernsami,Southern Sami,sout2674,,sma,,Uralic,Saami,64.67,16.75,600
lulesami,Lule Sami,lule1254,,smj,,Uralic,Saami,68,16.5,2000
northernsami,Northern Sami,nort2671,,sme,,Uralic,Saami,69,24,21000
inarisami,Inari Sami,inar1241,,smn,,Uralic,Saami,68.5,27,300
skoltsami,Skolt Sami,skol1241,,sms,,Uralic,Saami,69.5,28.67,400
kildinsami,Kildin Sami,kild1236,,sjd,,Uralic,Saami,68,35,200
hillmari,Hill Mari,west2392,,mrj,,Uralic,Mari,56.33,46.33,40000
meadowmari,Meadow Mari,east2328,,mhr,,Uralic,Mari,57,49.5,350000
moksha,Moksha,moks1248,,mdf,,Uralic,Mordvin,54,44,130000
erzya,Erzya,erzy1239,,myv,,Uralic,Mordvin,53,45.5,260000
udmurt,Udmurt,udmu1245,,udm,,Uralic,Permian,57.5,52.5,340000
komipermyak,Komi-Permyak,komi1269,,koi,,Uralic,Permian,59.5,54.5,63000
komizyrian,Komi-Zyrian,komi1268,,kpv,,Uralic,Permian,65,55,160000
hungarian,Hungarian,hung1274,,hun,,Uralic,Hungarian,47,20,12500000
northernkhanty,Northern Khanty,khan1273,,kca,,Uralic,Khantyic,65,65,9600
northernmansi,Northern Mansi,mans1258,,mns,,Uralic,Mansic,62,62,900
northernselkup,Northern Selkup,selk1253,,sel,,Uralic,Samoyedic,65,82,1000
tundranenets,Tundra Nenets,nene1249,,yrk,,Uralic,Samoyedic,70,76,20900
forestenets,Forest Enets,fore1265,,enf,,Uralic,Samoyedic,70,88.2,15
nganasan,Nganasan,ngan1291,,nio,,Uralic,Samoyedic,71,93,130
bengali,Bengali,beng1280,,ben,,Indo-European,Indo-Iranian,24,90,210000000
hindi,Hindi,hind1269,,hin,,Indo-European,Indo-Iranian,25,77,400000000
northernpashto,Northern Pashto,nort2646,,pbu,,Indo-European,Indo-Iranian,34,71.33,20900000
westernfarsi,Western Farsi,west2369,,pes,,Indo-European,Indo-Iranian,28.66,55.16,52800000
northernkurdish,Northern Kurdish,nort2641,,kmr,,Indo-European,Indo-Iranian,37,43,14600000
ossetian,Ossetian,osse1243,,oss,,Indo-European,Indo-Iranian,43,44,580000
armenian,Armenian,nucl1235,,hye,,Indo-European,Armenic,40,45,6000000
moderngreek,Modern Greek,mode1248,,ell,,Indo-European,Graeco-Phrygian,39,22,12000000
standardalbanian,Standard Albanian,alba1267,,sqi,,Indo-European,Albanian,41,20,7600000
bulgarian,Bulgarian,bulg1262,,bul,,Indo-European,Balto-Slavic,42.5,25,6800000
croatian,Croatian,croa1245,,hrv,,Indo-European,Balto-Slavic,45.5,16.5,5500000
slovene,Slovene,slov1268,,slv,,Indo-European,Balto-Slavic,46,14.5,2500000
slovak,Slovak,slov1269,,slk,,Indo-European,Balto-Slavic,49,20,5000000
czech,Czech,czec1258,,ces,,Indo-European,Balto-Slavic,49.87,15.1,10000000
polish,Polish,poli1260,,pol,,Indo-European,Balto-Slavic,52,20,40000000
ukrainian,Ukrainian,ukra1253,,ukr,,Indo-European,Balto-Slavic,49,33,30000000
belarusian,Belarusian,bela1254,,bel,,Indo-European,Balto-Slavic,54,28,7000000
russian,Russian,russ1263,,rus,,Indo-European,Balto-Slavic,56,38,260000000
lithuanian,Lithuanian,lith1251,,lit,,Indo-European,Balto-Slavic,55,24,4100000
latvian,Latvian,latv1249,,lav,,Indo-European,Balto-Slavic,57,24,1750000
icelandic,Icelandic,icel1247,,isl,,Indo-European,Germanic,65,-17,330000
norwegianbokmal,Norwegian (Bokmål),norw1258,,nor,,Indo-European,Germanic,61,8,5000000
swedish,Swedish,swed1254,,swe,,Indo-European,Germanic,60,15,9000000
danish,Danish,dani1285,,dan,,Indo-European,Germanic,56,10,5600000
german,German,stan1295,,deu,,Indo-European,Germanic,52,10,200000000
dutch,Dutch,dutc1256,,nld,,Indo-European,Germanic,52.5,6,28000000
english,English,stan1293,,eng,,Indo-European,Germanic,52,0,1080000000
irish,Irish,iris1253,,gle,,Indo-European,Celtic,53,-8,1850000
welsh,Welsh,wels1247,,cym,,Indo-European,Celtic,52,-3,740000
breton,Breton,bret1244,,bre,,Indo-European,Celtic,48,-3,210000
latin,Latin,lati1261,,lat,,Indo-European,Italic,41.90,12.45,0
french,French,stan1290,,fra,,Indo-European,Italic,48,2,338000000
catalan,Catalan,stan1289,,cat,,Indo-European,Italic,41.75,2,11000000
spanish,Spanish,stan1288,,spa,,Indo-European,Italic,40,-4,548000000
portuguese,Portuguese,port1283,,por,,Indo-European,Italic,39,-8,250000000
italian,Italian,ital1282,,ita,,Indo-European,Italic,43,12,85000000
romanian,Romanian,roma1327,,ron,,Indo-European,Italic,46,25,28000000
turkish,Turkish,nucl1301,,tur,,Turkic,Oghuz,39,35,70800000
northazerbaijani,North Azerbaijani,nort2697,,azj,,Turkic,Oghuz,40.98,46.47,7300000
northernuzbek,Northern Uzbek,nort2690,,uzn,,Turkic,,43.75,59.23,25100000
kazakh,Kazakh,kaza1248,,kaz,,Turkic,Kipchak,41.87,65.77,11000000
bashkir,Bashkir,bash1264,,bak,,Turkic,Kipchak,53,58,1200000
tatar,Tatar,tata1255,,tat,,Turkic,Kipchak,56,49.5,5400000
sakha,Sakha,yaku1245,,sah,,Turkic,North Siberian Turkic,62,130,360000
chuvash,Chuvash,chuv1255,,chv,,Turkic,Bolgar,55.5,47.5,1080000
khalkhamongolian,Khalkha Mongolian,halh1238,,khk,,Mongolic,Eastern Mongolic,48.32,106.29,3000000
buryat,Buryat,buri1258,,bua,,Mongolic,,51.83,107.6,450000
kalmyk,Kalmyk,kalm1243,,xal,,Mongolic,Eastern Mongolic,46.33,44.25,360000
evenki,Evenki,even1259,,evn,,Tungusic,Northern Tungusic,56,125,17000
manchu,Manchu,manc1252,,mnc,,Tungusic,Manchu-Jurchen,49.5,127.5,20
nanai,Nanai,nana1257,,gld,,Tungusic,Central Tungusic,49.5,137,1400
ket,Ket,kett1243,,ket,,Yeniseian,Northern Yeniseian,64,87,210
northernyukaghir,Northern Yukaghir,nort2745,,ykg,,Yukaghir,Northern Yukaghir,69,155,40
southernyukaghir,Southern Yukaghir,sout2750,,yux,,Yukaghir,Kolymic,65.75,150.83,10
