	#	-	_	a	b	c	c͡ç	d	d̪	d͡z	d͡ʑ	d͡ʒ	e	f	h	i	j	k	l	l̪	m	n	n̪	o	p	p͡f	q	q͡χ	r	s	s̪	t	t̪	t͡s	t͡ɕ	t͡ɬ	t͡ʃ	u	v	w	x	y	z	æ	ç	ð	ø	ħ	ŋ	œ	ɐ	ɑ	ɒ	ɔ	ɕ	ɖ	ɖ͡ʐ	ɘ	ə	ɛ	ɜ	ɟ	ɟ͡ʝ	ɡ	ɢ	ɣ	ɤ	ɥ	ɦ	ɨ	ɪ	ɫ	ɬ	ɭ	ɮ	ɯ	ɱ	ɲ	ɳ	ɴ	ɵ	ɸ	ɹ	ɺ	ɻ	ɽ	ɾ	ʀ	ʁ	ʂ	ʃ	ʈ	ʈ͡ʂ	ʉ	ʊ	ʋ	ʌ	ʍ	ʎ	ʏ	ʐ	ʑ	ʒ	ʔ	ʕ	ʜ	ʝ	ʡ	ʰ	ʲ	ʷ	ʼ	ˀ	ˠ	ˤ	̃	̥	̪	̯	β	θ	χ
#	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
-	0.0	0.8707702502196805	0.3174382983642563	0.20847978289343513	0.0313798413574687	0.05628976994615763	0.016806722689075626	0.09918679152291775	0.024432809773123912	0.08290155440414505	0.02812939521800282	0.03640776699029126	0.27723293622062795	0.025403922365613257	0.32148292445364346	0.35658468230702456	0.4264633162428755	0.09911477642430198	0.07246825642613816	0.8901408450704226	0.27130212017511984	0.5795222898595551	0.05786249149081004	0.8704088309766991	0.03119508776086401	0.0	0.04485331136436447	0.30358874878758485	0.07264548777059322	0.1412958718306198	0.05952380952380952	0.08967043204844524	0.05842259006815967	0.03634934669417427	0.051032243099048955	0.06553079947575362	0.017822868110775977	0.25311250197708823	0.06807664359199908	0.09720097200972005	0.06927109335996007	0.35012594458438295	0.06385221003037628	0.32039842290931725	0.3021739130434782	0.0594388968140751	0.09688934217236105	0.03450258769407704	0.26626814688300604	0.07470651013874068	0.2933889602053916	0.25574295066566866	0.6254912234739325	0.23028072454355183	0.04906143344709898	0.04164738546968997	0.0	0.8336052202283851	0.32061159179803256	0.4039307904729029	0.5073529411764707	0.604309500489716	0.6263736263736264	0.06164925393491373	0.05657708628005658	0.05547630369313677	0.26127067014795474	0.08086253369272238	0.05487804878048779	0.25152159211670366	0.4540856742428858	0.0341005967604433	0.02842703727100442	0.2942830365510778	0.5842391304347826	1.0	0.0	0.06334002780781713	0.016474464579901142	0.4017467248908297	0.3783031988873435	0.08130081300813005	0.032467532467532464	0.06944444444444443	0.051020408163265335	0.4747474747474747	0.63087890115622	0.020292207792207802	0.04140358140979195	0.028188865398167715	0.05435469599292127	0.043440486533449174	0.024752475247524747	0.5705920624593364	0.5716783216783217	0.05610813567967355	0.34209245742092464	0.0	0.5214961306964747	1.0	0.05488474204171244	0.06289308176100628	0.041533546325878565	0.5260025873221219	0.44153225806451624	0.309278350515464	0.9272030651340997	0.19540229885057447	0.4487629867703119	0.9567162652758605	0.2737629049483803	0.3504880212954745	1.0	0.4485752028684658	0.45721925133689834	0.39822763777347	1.0	1.0	1.0	0.048179871520342615	0.05185825410544511	0.08359207069500833
_	0.0	7.202639046946802E-4	0.8975781746719843	6.596119597071327E-4	8.716622599296859E-4	0.0	0.0	6.160670280926569E-4	0.0	0.0	0.0	0.0	5.26558283419996E-4	0.0010161568946245303	0.0	7.737076932334968E-4	5.205215626057311E-4	7.566013467503968E-4	0.0017033137194177772	0.0	5.735370026956236E-4	5.623427197705643E-4	0.0	0.003983043614327576	0.0	0.0	4.576868506567804E-4	0.009699321047526672	3.3736294630306446E-4	2.3630047968997375E-4	0.0	3.8818368852140797E-4	0.0	0.0	0.0	0.0	0.0	5.648823914860923E-4	3.824530538876353E-4	0.0	6.240639041437845E-4	0.0	0.0012398487384539085	5.187798298402158E-4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.4678468155063349E-4	0.0	7.216569242981881E-4	0.0	0.0	0.0	0.0	9.877128521196322E-4	2.15740421125302E-4	0.0	0.0	0.0	2.7278430944652096E-4	0.0	0.0	0.0	0.0	0.0	4.83045116413873E-4	0.00365608433367863	0.0021312872975277064	0.0	0.0	0.0	0.013633265167007498	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.2135423250326564E-4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.02016129032258065	0.0	0.0	0.0	0.0	0.002812292273866135	0.0	0.0	0.0034199726402188786	0.0	0.008912655971479501	0.0013846579894765995	0.0	0.0	0.001981375074301565	0.0	0.0	0.001194172438500119
a	0.0	0.31138449127760415	0.07687416912317205	0.9622654843907541	0.011912717552372375	0.06607929515418504	0.016806722689075626	0.020124856251026786	0.0418848167539267	0.05181347150259066	0.07032348804500704	0.04854368932038835	0.3018495359705128	0.018290824103241544	0.03409021732513545	0.08132527531098754	0.024724774223772224	0.015384227383924733	0.0188912976153608	0.05633802816901409	0.03269160915365055	0.024321322630076907	0.02382573179033355	0.5713960567868217	0.0021718099074019247	0.0	0.02059590827955511	0.09699321047526671	0.012369974697779031	0.01547768141969328	0.0	0.01678894452855089	0.046738072054527735	0.030454858041064934	0.06031083275342149	0.039318479685452164	0.01713737318343844	0.06563933389068392	0.010326232454966153	0.04230042300423003	0.04056415376934599	0.08484687790003978	0.01735788233835472	0.8371031334301721	0.04347826086956521	0.0023775558725630036	0.2960224375318715	0.040253018976423215	0.03501280956447481	0.096051227321238	0.3222721437740694	0.5836599292497838	1.0	0.2824805754011208	0.07039249146757678	0.06015733456732996	0.0	0.3360522022838499	0.6599897277863381	0.5111537797721779	0.5073529411764707	0.029382957884427033	0.0	0.011184156687307358	0.04243281471004244	0.058646378189887445	0.27519582245430807	0.02695417789757413	0.02439024390243902	0.24524200560332332	0.5022241179696545	0.0341005967604433	0.09475679090334807	0.056232427366447985	0.09057971014492754	0.8164053624176324	0.0	0.01390390854317937	0.016474464579901142	0.08733624454148473	0.06954102920723225	0.3170731707317072	0.032467532467532464	0.0	0.18877551020408173	0.07575757575757575	0.041728244805702856	0.0	0.008280716281958391	0.028188865398167715	0.018539586230143686	0.03909643788010426	0.0	0.5445673389720234	0.37100942535725145	0.038255547054322867	1.0	0.0	0.042992261392949274	0.08711885500933417	0.010976948408342489	0.0	0.023961661341853017	0.03880983182406211	0.29032258064516137	0.5154639175257734	0.6590038314176245	0.0	0.022423200538156822	0.04857595745768779	0.2737629049483803	0.05830903790087461	0.0034199726402188786	0.024532930741649375	0.053475935828877004	0.03184713375796179	0.032414910858995144	0.0	0.04359025163463443	0.021413276231263382	0.025929127052722555	0.04776689754000476
b	0.0	0.008451096481750915	0.01098202416045315	9.423027995816182E-5	0.9576662695760816	0.0073421439060205596	0.0	0.013142763265976678	0.031413612565445025	0.020725388601036263	0.01406469760900141	0.029126213592233007	0.005265582834199961	0.035565491311858564	0.021306385828209658	0.0031807982944043757	0.0150951253155662	0.01197952132354795	0.01316196965004646	0.0	0.024470912115013278	0.011668611435239208	0.00340367597004765	0.0056900623061822515	0.04047463918339951	0.0	4.576868506567804E-4	0.029097963142580015	0.0040483553556367735	0.011460573264963726	0.0	0.00883117891386203	0.02726387536514118	0.019648295510364473	0.030155416376710743	0.026212319790301447	0.023306827529476278	0.005987753349752579	0.0879642023941561	0.33579335793357923	0.014353469795307041	0.009280127270316851	0.014258260492219949	0.007781697447603237	0.032608695652173905	0.0	0.002549719530851607	0.02875215641173087	0.02049530315969257	0.0	0.0012836970474967909	0.0	0.005239717055279016	0.005532703086286109	0.019197952218430035	0.013882461823229988	0.0	0.008156606851549756	0.001777883133815338	0.0032361063168795294	0.07352941176470588	0.01958863858961802	0.0	0.0013639215472326046	0.0	0.028530670470756053	0.0034812880765883376	0.02695417789757413	0.02439024390243902	0.006762631629794221	0.006702821278410822	0.006393861892583119	0.03474415666456095	0.0	0.02717391304347826	0.022722108611679163	0.0	0.01853854472423916	0.0	0.04366812227074236	0.01390820584144645	0.0	0.06493506493506493	0.0	0.0	0.025252525252525252	0.01217073806833	0.00405844155844156	0.0	0.010570824524312893	0.013904689672607766	0.004344048653344918	0.0	0.019518542615484708	0.008361204013377926	0.4350930884978321	0.0064882400648824026	0.0	0.008598452278589856	0.012445550715619164	0.0	0.0	0.012779552715654941	0.007761966364812422	0.0403225806451613	0.0	0.07662835249042145	0.0	0.0	0.002045303471902644	0.010679957280170885	0.0076055266827227755	0.0	0.0	0.035650623885918005	0.011077263915812796	0.006482982171799028	0.0	0.00792550029720626	0.3233404710920771	0.025929127052722555	0.019106759016001906
c	0.0	0.0013685014189198925	0.002312005086411189	0.0	0.0	0.8624571708272148	0.0	0.0039017578445868263	0.0034904013961605585	0.010362694300518132	0.0	0.03398058252427185	0.0013163957085499903	0.0010161568946245303	0.006087538808059902	0.0015474153864669935	0.005205215626057311	0.006557211671836771	0.0010839269123567672	0.0	0.0032500430152752006	0.0015464424793690515	0.0	8.535093459273378E-4	0.0	0.0	0.0	0.0	0.0	0.0011815023984498687	0.0	0.019312138503940045	0.01363193768257059	0.028490028490028487	0.5063790303873812	0.0	0.020564847820126127	0.0010167883046749663	0.0022947183233258117	0.003600036000360002	0.003744383424862706	0.002651464934376243	0.0018597731076808628	0.0015563394895206472	0.054347826086956506	0.0	0.0	0.0	0.0025619128949615714	0.0	0.0	1.4678468155063349E-4	0.0	9.622092323975843E-4	0.010665529010238909	0.0	0.0	0.0	9.877128521196322E-4	0.001510182947877114	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.002415225582069365	0.00365608433367863	0.0021312872975277064	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	8.69338433452143E-4	0.0	0.0	0.0	0.0016854169300130626	0.0	0.0	0.0	0.0030404378230465185	0.007651109410864574	0.0032441200324412013	0.0	0.008598452278589856	0.006222775357809582	0.0	0.0	0.0	0.0	0.010080645161290326	0.0	0.7547892720306513	0.0	0.0	0.0	0.0071199715201139225	0.0025351755609075914	0.0	0.0	0.0	0.0013846579894765995	0.006482982171799028	0.0	0.001981375074301565	0.0	0.017286084701815037	0.001194172438500119
c͡ç	0.0	3.601319523473401E-4	0.0011560025432055946	0.0	0.0	0.0	0.7983193277310925	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0012175077616119803	5.158051288223312E-4	5.205215626057311E-4	0.0030264053870015873	1.5484670176525245E-4	0.0	0.0	4.2175703982792317E-4	0.0	8.535093459273378E-4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0023196474135931343	0.0	0.0	0.0	0.0	0.0	0.0	0.002651464934376243	6.199243692269542E-4	0.0	0.0	0.0	0.0	0.0	8.539709649871906E-4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0022722108611679163	0.0	0.0	0.0	0.0	0.0	0.0	0.008116883116883116	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	7.601094557616296E-4	0.0	0.0	0.0	0.0	0.006222775357809582	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.001981375074301565	0.0	0.0	0.0
d	0.0	0.023360559308930797	0.016184035604878327	2.3557569989540457E-4	0.0034866490397187436	0.002447381302006853	0.016806722689075626	0.9270987350090356	1.0	0.3025906735751295	0.9465541490857949	0.26334951456310685	0.011979200947804912	0.021339294787115135	0.06026663419979303	0.007049336760571859	0.024464513442469363	0.013997124914882341	0.0221430783524311	0.05633802816901409	0.03020628214196951	0.028257721668470855	0.034036759700476496	0.007112577882727815	5.923117929277976E-4	0.0	4.576868506567804E-4	0.009699321047526672	0.0013494517852122578	0.002244854557054751	0.0	0.08850588098288101	0.07789678675754624	0.01571863640829158	0.05335189051264209	0.026212319790301447	0.011653413764738139	0.004970965045077613	0.017975293532718855	0.03780037800378003	0.021842236645032456	0.018560254540633703	0.07191122683032669	0.012969495746005392	0.06521739130434781	0.30860675225867795	0.012748597654258034	0.03450258769407704	0.017933390264731005	0.008004268943436501	0.0012836970474967909	0.0013210621339557011	0.0	0.002405523080993961	0.0575938566552901	0.3373438223044887	0.8125	0.016313213703099513	0.006123819683141719	0.007335174318260267	0.0	1.0	0.0	0.0016367058566791257	0.0	0.0	0.0034812880765883376	0.08086253369272238	0.01219512195121951	0.012559173026760698	0.012186947778928767	0.01918158567774936	0.01895135818066961	0.00937207122774133	0.02717391304347826	0.03862758463985458	0.0	0.00926927236211958	0.0	0.04366812227074236	0.01390820584144645	0.0	0.040584415584415584	0.29861111111111105	0.0	0.34848484848484845	0.03216552203772929	0.00405844155844156	0.0	0.0	0.002106771162516328	0.05647263249348393	0.008250825082508248	0.006506180871828237	0.01900273639404074	0.012751849018107624	0.016220600162206004	0.0	0.05159071367153912	0.006222775357809582	0.010976948408342489	0.0	0.0031948881789137353	0.005174644243208282	0.06048387096774195	0.0	0.038314176245210725	0.0	0.0	2.556629339878305E-4	0.05339978640085442	0.013943465584991753	0.017099863201094394	0.00566144555576524	0.008912655971479501	0.0	0.019448946515397084	0.0	0.01585100059441252	0.0	0.6076058772687986	0.015524241700501547
d̪	0.0	5.522023269325882E-4	0.0017340038148083918	0.0	0.0	0.0	0.0	0.0055446032528339104	0.8083769633507853	0.0	0.0	0.0	0.0	0.0	0.0018262616424179704	5.158051288223312E-4	0.0026026078130286555	0.0013871024690423942	4.6454010529575746E-4	0.0	0.0021029690098839536	0.002389956559024898	0.01021102791014295	8.535093459273378E-4	0.0	0.0	0.0	0.0	1.1245431543435483E-4	0.0	0.0	0.0	0.021421616358325214	0.0	0.004639294827186269	0.0	0.0	0.0	0.0015298122155505411	0.004500045000450003	0.004368447329006491	0.0	0.002479697476907817	0.0	0.0	0.0023775558725630036	0.002549719530851607	0.0	0.0025619128949615714	0.0	0.0	0.0	0.0	0.0	0.0	0.023137436372049985	0.0	0.008156606851549756	7.901702816957057E-4	4.31480842250604E-4	0.0	0.00979431929480901	0.0	0.0	0.0	0.0	0.0	0.0	0.0	9.66090232827746E-4	0.001828042166839315	0.0	0.0	0.01874414245548266	0.009057971014492754	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0026080153003564285	0.0	0.0010350895352447989	0.0	0.0	0.0	0.0	0.006506180871828237	0.0015202189115232593	0.007651109410864574	0.009732360097323603	0.0	0.004299226139294928	0.0	0.0	0.0	0.0	0.0	0.0	0.309278350515464	0.0	0.0	0.0014948800358771212	0.0	0.0	0.0012675877804537957	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.001194172438500119
d͡z	0.0	4.081495459936521E-4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.8217616580310881	0.0	0.0024271844660194177	0.0	0.0	0.0	0.0	0.0	0.0	1.5484670176525245E-4	0.0	5.735370026956236E-4	2.8117135988528215E-4	0.0	8.535093459273378E-4	0.0	0.0	0.0	0.0	0.0	1.1815023984498687E-4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	6.199243692269542E-4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
