	#	-	_	a	b	c	c͡ç	d	d͡z	d͡ʑ	d͡ʒ	e	f	h	i	j	k	l	m	n	o	p	p͡f	q	q͡χ	r	s	t	t͡s	t͡ɕ	t͡ɬ	t͡ʃ	u	v	w	x	y	z	æ	ç	ð	ø	ħ	ŋ	œ	ɐ	ɑ	ɒ	ɔ	ɕ	ɖ	ɖ͡ʐ	ɘ	ə	ɛ	ɜ	ɟ	ɟ͡ʝ	ɡ	ɢ	ɣ	ɤ	ɥ	ɦ	ɨ	ɪ	ɫ	ɬ	ɭ	ɮ	ɯ	ɱ	ɲ	ɳ	ɴ	ɵ	ɸ	ɹ	ɺ	ɻ	ɽ	ɾ	ʀ	ʁ	ʂ	ʃ	ʈ	ʈ͡ʂ	ʉ	ʊ	ʋ	ʌ	ʍ	ʎ	ʏ	ʐ	ʑ	ʒ	ʔ	ʕ	ʜ	ʝ	ʡ	ʰ	ʲ	ʷ	ʼ	ˀ	ˠ	ˤ	̃	̥	̯	β	θ	χ
#	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
-	0.0	0.8704426658940837	0.020437619075111137	0.01670815081094052	0.0032910065237651445	0.006113964294448521	0.006956521739130435	0.009028300248856994	0.00823045267489712	0.002824858757062147	0.004366812227074236	0.01998339111292725	0.002645233492725608	0.017515151515151515	0.027246197153999122	0.03281168492436098	0.009866013978955868	0.007212610534409842	0.01723214627242474	0.044674094407664566	0.060160009110839054	0.002946993670886076	0.0	0.004447909024211299	0.0196078431372549	0.007022487741644592	0.010192325778237562	0.008758196419361968	0.003234025872206978	0.0037365716954694066	0.003911342894393742	0.0011687865245788931	0.018826422415737943	0.006721462590259641	0.010328893721119869	0.006744941294029478	0.01513140430050438	0.005998763141620285	0.015215465582825282	0.014238773274917854	0.005041411595246669	0.011517788584591758	0.00340522133938706	0.01653315152548151	0.007221182134260497	0.021712675334657018	0.016839187236426908	0.04128981517892253	0.015031416143064281	0.006213841868437969	0.0032710280373831778	0.0	0.06200317965023847	0.015953460855846972	0.02236697366434441	0.0	0.0273972602739726	0.03296703296703297	0.00637862886738449	0.008658008658008658	0.005559968228752979	0.016151441472733587	0.00804289544235925	0.004866180048661801	0.015018050541516245	0.017793162081739235	0.0044604927782497875	0.003428927680798005	0.016697588126159554	0.028699551569506727	0.09657673996826116	0.0	0.0066584081759058535	0.004108463434675432	0.02702702702702703	0.02269503546099291	0.008403361344537815	8.163265306122449E-4	0.006944444444444444	0.008695652173913044	0.019184652278177457	0.03213166144200627	0.002438033319788704	0.004602510460251046	0.002117896223085069	0.0054359366373635705	0.004805591961555264	0.0032520325203252032	0.021150033046926635	0.03344532681734881	0.0056179775280898875	0.010858995137763372	0.0	0.01784160139251523	0.1108359133126935	0.006586169045005488	0.003215434083601286	0.0033396946564885495	0.04643882076702322	0.03054989816700611	0.015	0.04618473895582329	0.017045454545454544	0.040811724915445324	0.08490397612792981	0.01541771244173539	0.026046986721144024	0.14221916867055995	0.03898781630740394	0.03727272727272727	0.030688728609814735	0.1237879767291532	0.3800635424940429	0.00482315112540193	0.005150214592274678	0.008579599618684462
_	0.0	8.208693972645735E-5	0.8974655043011374	6.116754732250824E-5	8.737185461323393E-5	2.4455857177794083E-4	0.0	5.787371954395509E-5	0.0	0.0	0.0	3.954496922083229E-5	1.0173974972021569E-4	0.0	6.886874478104043E-5	5.2164840897235264E-5	7.569831697408594E-5	1.5378700499807767E-4	7.65023141950044E-5	5.3824210129716346E-5	3.4165646442502065E-4	0.0	0.0	4.5854732208363906E-5	9.80392156862745E-4	3.3816152849010876E-5	2.3511708830997837E-5	4.604729978634053E-5	0.0	0.0	0.0	0.0	5.6400306817669086E-5	3.840835765862652E-5	0.0	6.245316012990258E-5	0.0	1.8552875695732838E-4	5.2107758845292065E-5	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.949069568551122E-5	0.0	7.249879168680522E-5	0.0	0.0	0.0	0.0	1.1831985801617038E-4	4.313784699005673E-5	0.0	0.0	0.0	2.725909772386534E-5	0.0	0.0	0.0	0.0	0.0	4.8134777376654636E-5	3.0363757818667637E-4	0.0	0.0	0.0	0.0	0.0011335298118340512	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.2468254979402894E-5	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.6089225150013044E-4	0.002036659877800407	0.0	0.0	0.0	0.0	3.825652273712668E-4	0.0	0.0	3.4352456200618345E-4	1.8744142455482662E-4	0.0	1.414227124876255E-4	0.0	1.9857029388403494E-4	0.0	0.0	1.1916110581506196E-4
a	0.0	0.018199157401706925	0.007620807112753305	0.9628430675995502	0.0013105778191985088	0.006603081438004402	0.0017391304347826088	0.001948415224646488	0.00720164609053498	0.007062146892655367	0.0038816108685104317	0.02192109460474803	0.0020347949944043136	0.00296969696969697	0.008272857966822483	0.002634324465310381	0.0016022810426181524	0.0019684736639753943	0.0034043529816776955	0.0023951773507723774	0.029866469265153888	3.1645569620253165E-4	0.0	0.0022010271460014674	0.010784313725490196	0.0013301020120610944	0.001563528637261356	0.0018695203713254254	0.0031360250882007056	0.0067725361980383	0.003911342894393742	0.0017188037126160192	0.006745476695393223	0.001267475802734675	0.004439612213463804	0.004434174369223083	0.0088930183169631	0.0017934446505875076	0.0676358709811891	0.004381161007667032	2.4006721882126995E-4	0.014589198873816227	0.0073779795686719635	0.0029827850690301687	0.009360791655522867	0.02414654454621149	0.050222654752425606	0.08939572683182592	0.020758820686321896	0.007928005142489822	0.0051401869158878505	0.0	0.010333863275039745	0.049477420627095245	0.03293574617690831	0.022727272727272728	0.005870841487279843	0.0	0.0010903639089546136	0.002886002886002886	0.006354249404289118	0.01736714136853074	0.005361930294906166	0.0024330900243309003	0.013044524669073406	0.02416955122365944	0.0031860662701784196	0.00903990024937656	0.0055658627087198514	0.008968609865470852	0.03808660167762412	0.0	0.001548467017652524	0.0	0.013513513513513514	0.0070921985815602835	0.01680672268907563	0.004081632653061225	0.0	0.010434782608695653	0.007194244604316547	0.0036572622779519333	0.0	0.0010460251046025104	0.0031768443346276033	0.002165881003949548	0.003931847968545216	0.0	0.018506278916060808	0.012828344532681736	0.004341164453524004	0.07504051863857375	0.0	0.0034812880765883376	0.007430340557275541	0.0010976948408342481	0.0	0.002385496183206107	0.004435168275502218	0.015274949083503055	0.025	0.012048192771084338	0.0	0.0026305900037579856	0.00484582621336938	0.01613481534600215	0.008043922369765066	3.4352456200618345E-4	0.002436738519212746	0.008181818181818182	0.003111299674727761	0.003555268261150614	0.004567116759332804	0.002411575562700965	0.002575107296137339	0.005243088655862726
b	0.0	8.184550755079129E-4	0.0011546677443565615	1.411558784365575E-5	0.9568383038210625	4.891171435558817E-4	0.0	0.0012539305901190269	0.00102880658436214	0.0014124293785310734	0.002911208151382824	5.931745383124843E-4	0.003662630989927765	0.0021212121212121214	3.615609101004623E-4	0.0014606155451225874	0.0012237894577477228	0.0012918108419838524	0.0023906973185938876	0.001076484202594327	5.978988127437861E-4	0.004074367088607595	0.0	4.5854732208363906E-5	0.00196078431372549	4.057938341881305E-4	0.0011050503150568983	9.117365357695425E-4	0.001862014896119169	0.003269500233535731	0.002607561929595828	0.0024063251976624267	5.752831295402247E-4	0.008949147334459978	0.016671196883211017	0.0013739695228578567	7.963897000265463E-4	0.0012368583797155227	7.81616382679381E-4	0.0032858707557502738	0.0	2.559508574353724E-4	0.003972758229284903	0.0019601159025055396	2.674511901577962E-4	1.2809837955549862E-4	0.0	3.9323633503735744E-4	5.799903334944418E-4	0.001928433683308335	0.0014018691588785046	0.0	7.94912559618442E-4	1.9719976336028398E-4	3.235338524254255E-4	0.0	0.0019569471624266144	0.0	1.0903639089546136E-4	0.001443001443001443	0.002859412231930103	3.473428273706148E-4	0.002680965147453083	0.0018248175182481751	6.257521058965102E-4	5.465476407360175E-4	8.496176720475786E-4	0.002805486284289277	0.0	0.0026905829596412557	0.0020403536613012923	0.0	0.0010839269123567668	0.0	0.0045045045045045045	0.0014184397163120568	0.0	0.007346938775510204	0.0	0.0	0.002398081534772182	0.0013932427725531174	4.063388866314506E-4	0.0	0.0014119308153900459	0.0014014524143202956	4.3687199650502403E-4	0.0	0.0019828155981493722	8.39951130116066E-4	0.017620020429009193	6.482982171799027E-4	0.0	4.351610095735422E-4	0.001238390092879257	0.0	0.0	9.541984732824427E-4	5.217845030002609E-4	0.004073319755600814	0.0	0.008032128514056224	0.0	0.0	7.651304547425335E-5	0.0010756543564001434	7.660878447395301E-4	0.0	0.0	0.0036363636363636364	0.001131381699901004	6.464124111182935E-4	7.942811755361397E-4	0.02304394426580922	0.002575107296137339	0.0019065776930409914
c	0.0	1.2554473134634652E-4	2.8866693608914037E-4	0.0	0.0	0.863291758376131	0.0	4.2440727665567067E-4	0.00102880658436214	0.0	0.0038816108685104317	1.0545325125555278E-4	1.0173974972021569E-4	6.060606060606061E-4	1.3773748956208087E-4	4.4340114762649973E-4	7.317503974161641E-4	9.22722029988466E-5	3.251348353287687E-4	1.7492868292157812E-4	8.541411610625516E-5	0.0	0.0	0.0	0.0	0.0	1.293143985704881E-4	0.0018787298312826935	0.0029400235201881616	0.018449322746380198	0.0	0.002200068752148505	1.1280061363533817E-4	1.920417882931326E-4	3.624173235480656E-4	3.7471896077941546E-4	2.654632333421821E-4	1.8552875695732838E-4	5.2107758845292065E-5	0.00547645125958379	0.0	0.0	0.0	2.556672916311573E-4	0.0	0.0	0.0	0.0	9.666505558240696E-5	0.0010713520462824085	0.0	0.0	0.0	9.859988168014199E-5	1.0784461747514181E-4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.9253910950661854E-4	3.6436509382401167E-4	2.1240441801189465E-4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	8.707767328456984E-5	0.0	0.0	0.0	3.3974603983522316E-4	4.3687199650502403E-4	0.0	0.0	3.8179596823457546E-4	5.107252298263534E-4	0.0	0.0	4.351610095735422E-4	6.191950464396285E-4	0.0	0.0	0.0	0.0	0.0010183299389002036	0.0	0.02208835341365462	0.0	0.0	0.0	3.5855145213338117E-4	2.553626149131767E-4	0.0	0.0	0.0	1.414227124876255E-4	9.696186166774402E-4	1.9857029388403494E-4	0.0	0.0017167381974248926	1.1916110581506196E-4
c͡ç	0.0	3.138618283658663E-5	1.1546677443565614E-4	0.0	0.0	0.0	0.7843478260869565	0.0	0.0	0.0	0.0	0.0	0.0	6.0606060606060605E-5	3.443437239052022E-5	5.2164840897235264E-5	2.901768817339961E-4	1.5378700499807768E-5	0.0	4.036815759728726E-5	2.8471372035418388E-5	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.3353573096683791E-4	0.0	0.0	0.0	0.0	0.0	0.0	1.3273161667109106E-4	6.184291898577613E-5	0.0	0.0	0.0	0.0	0.0	8.52224305437191E-5	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.2670596236681024E-4	0.0	0.0	0.0	0.0	0.0	0.0	8.163265306122449E-4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	6.191950464396285E-4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.9857029388403494E-4	0.0	0.0	0.0
d	0.0	0.002409493113147189	0.0018474683909704983	2.3525979739426248E-5	3.7861136999068034E-4	0.0	0.0017391304347826088	0.9297798869533345	0.012345679012345678	0.0692090395480226	0.013343037360504609	0.0011863490766249687	0.002340014243564961	0.005878787878787879	7.403390063961847E-4	0.0030255607720396454	0.0015139663394817188	0.0019838523644752017	0.0034043529816776955	0.002973787609666828	8.8261253309797E-4	5.933544303797468E-5	0.0	9.170946441672781E-5	9.80392156862745E-4	1.8035281519472468E-4	2.468729427254773E-4	0.008988432918293671	0.002352018816150529	0.006071929005137786	0.002607561929595828	0.0015125472671020969	5.188828227225556E-4	0.0021124596712244585	0.005073842529672919	0.0027479390457157134	0.001990974250066366	0.007544836116264688	0.0013026939711323017	0.00547645125958379	0.02700756211739287	0.0015357051446122344	0.004540295119182747	0.0017896710414181012	0.0010698047606311847	2.5619675911099724E-4	1.4745347842755612E-4	1.3107877834578582E-4	1.9333011116481392E-4	0.007070923505463895	0.029906542056074768	0.0625	0.0023847376788553257	6.310392427529087E-4	8.627569398011345E-4	0.0	0.09686888454011741	0.0	1.9081368406705738E-4	0.0	0.0	5.210142410559222E-4	0.010723860589812333	0.0012165450121654502	0.001588447653429603	0.0017003704378453876	0.0016992353440951572	0.0024937655860349127	0.0027829313543599257	0.003587443946188341	0.003627295397868964	0.0	0.0010839269123567668	0.0	0.0045045045045045045	0.0014184397163120568	0.0	0.004897959183673469	0.020833333333333332	0.0	0.011990407673860911	0.0033960292580982234	4.063388866314506E-4	1.0460251046025104E-4	0.0	2.972777848558203E-4	0.007426823940585408	8.130081300813008E-4	0.0019828155981493722	0.002061698228466707	0.002553626149131767	0.0019448946515397082	0.0	0.005657093124456049	6.191950464396285E-4	0.0010976948408342481	0.0	3.180661577608143E-4	5.217845030002609E-4	0.008146639511201629	0.01	0.006024096385542169	0.0	1.503194287861706E-4	7.651304547425335E-5	0.004661168877733955	0.001787538304392237	0.0017176228100309172	5.623242736644799E-4	9.090909090909091E-4	0.0	0.0016160310277957336	0.0023828435266084196	0.0	0.02832618025751073	0.0017874165872259296
d͡z	0.0	4.345779161988918E-5	0.0	0.0	0.0	0.0	0.0	0.0	0.823045267489712	0.0	2.4260067928190198E-4	0.0	0.0	0.0	0.0	0.0	0.0	1.5378700499807768E-5	5.73767356462533E-5	4.036815759728726E-5	5.6942744070836776E-5	0.0	0.0	0.0	0.0	0.0	1.1755854415498918E-5	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	6.184291898577613E-5	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
d͡ʑ	0.0	2.8971861079926123E-5	5.773338721782807E-5	0.0	0.0	0.0	0.0	0.0	0.0	0.7725988700564972	7.27802037845706E-4	1.3181656406944097E-5	0.0	6.0606060606060605E-5	2.582577929289016E-5	8.868022952529995E-4	2.5232772324695315E-5	7.689350249903884E-5	5.73767356462533E-5	4.036815759728726E-5	2.8471372035418388E-5	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.3353573096683791E-4	0.0	0.0	1.1280061363533817E-5	0.0	9.06043308870164E-5	0.0	0.0	3.0921459492888067E-4	0.0	0.001095290251916758	0.0	0.0	0.0	2.556672916311573E-4	0.0	0.0	0.0	0.0	0.0	8.570816370259267E-4	0.0	0.0	0.0	1.9719976336028397E-5	2.1568923495028364E-5	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.8134777376654636E-5	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.6123301985370953E-4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.2414910858995135E-4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.232062055591467E-4	0.0	0.0	0.0	0.0
