ipa,syl,son,cons,cont,delrel,lat,nas,strid,voi,sg,cg,ant,cor,distr,lab,hi,lo,back,round,velaric,tense,long,hitone,hireg
ȵ,-,+,+,-,-,-,+,0,+,-,-,-,+,+,-,+,-,-,-,-,0,-,0,0
ȵː,-,+,+,-,-,-,+,0,+,-,-,-,+,+,-,+,-,-,-,-,0,+,0,0
dz,-,-,+,-,+,-,-,0,+,-,-,+,+,-,-,-,-,-,-,-,0,-,0,0
ɫ̩ː,+,+,+,+,0,+,-,0,+,-,-,+,+,-,-,-,-,+,-,-,0,+,0,0
l̩ː,+,+,+,+,-,+,-,0,+,-,-,+,+,-,-,-,-,-,-,-,0,+,0,0
n̩ː,+,+,+,-,-,-,+,0,+,-,-,+,+,-,-,-,-,-,-,-,0,+,0,0
ɿ,+,+,-,+,-,-,-,0,+,-,+,0,-,0,-,+,-,+,-,-,-,-,0,0
ł,-,-,+,+,+,+,-,0,-,-,-,+,+,-,-,0,0,0,-,-,0,-,0,0
+,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
g,-,-,+,-,-,-,-,0,+,-,-,-,-,0,-,+,-,+,-,-,0,-,0,0
ɬ̥,-,-,+,+,+,+,-,0,-,-,-,+,+,-,-,0,0,0,-,-,0,-,0,0
ç,-,-,+,+,-,-,-,0,-,-,-,-,-,0,-,+,-,-,-,-,0,-,0,0
ã,+,+,-,+,-,-,+,0,+,-,-,0,-,0,-,-,+,-,-,-,+,-,0,0
ẽ,+,+,-,+,-,-,+,0,+,-,-,0,-,0,-,-,-,-,-,-,+,-,0,0
ĩ,+,+,-,+,-,-,+,0,+,-,-,0,-,0,-,+,-,-,-,-,+,-,0,0
õ,+,+,-,+,-,-,+,0,+,-,-,0,-,0,-,-,-,+,+,-,+,-,0,0
ãː,+,+,-,+,-,-,+,0,+,-,-,0,-,0,-,-,+,-,-,-,+,+,0,0
ẽː,+,+,-,+,-,-,+,0,+,-,-,0,-,0,-,-,-,-,-,-,+,+,0,0
ĩː,+,+,-,+,-,-,+,0,+,-,-,0,-,0,-,+,-,-,-,-,+,+,0,0
õː,+,+,-,+,-,-,+,0,+,-,-,0,-,0,-,-,-,+,+,-,+,+,0,0
t͡ʂ,-,-,+,-,+,-,-,0,-,-,-,-,+,-,-,0,0,0,-,-,0,-,0,0
ɚ,+,+,-,+,-,-,-,0,+,-,-,-,-,0,-,+,-,+,+,-,-,-,0,0
ɚː,+,+,-,+,-,-,-,0,+,-,-,-,-,0,-,+,-,+,+,-,-,+,0,0
ʅ,+,+,-,+,-,-,-,0,+,-,+,0,-,0,-,-,-,+,-,-,-,-,0,0
ʦ,-,-,+,-,+,-,-,0,-,-,-,+,+,-,-,-,-,-,-,-,0,-,0,0
ʦː,-,-,+,-,+,-,-,0,-,-,-,+,+,-,-,-,-,-,-,-,0,+,0,0
d͡ʐ,-,-,+,-,+,-,-,0,+,-,-,-,+,-,-,0,0,0,-,-,0,-,0,0
ǝ,+,+,-,+,-,-,-,0,+,-,-,0,-,0,-,-,-,+,-,-,-,-,0,0
bˁ,-,-,+,-,-,-,-,0,+,-,-,+,-,0,+,-,+,+,-,-,0,-,0,0
ʦʰ,-,-,+,-,+,-,-,0,-,+,-,+,+,-,-,-,-,-,-,-,0,-,0,0
t͡θʰ,-,-,+,-,+,-,-,0,-,+,-,+,+,+,-,0,0,0,-,-,0,-,0,0
tθʰ,-,-,+,-,+,-,-,0,-,+,-,+,+,+,-,0,0,0,-,-,0,-,0,0
t͡θ,-,-,+,-,+,-,-,0,-,-,-,+,+,+,-,0,0,0,-,-,0,-,0,0
t͡θː,-,-,+,-,+,-,-,0,-,-,-,+,+,+,-,0,0,0,-,-,0,+,0,0
lʰ,-,+,+,+,-,+,-,0,+,+,-,+,+,-,-,-,-,-,-,-,0,-,0,0
ʰkʰː,-,-,+,-,-,-,-,0,-,+,-,-,-,0,-,+,-,+,-,-,0,+,0,0
çː,-,-,+,+,-,-,-,0,-,-,-,-,-,0,-,+,-,-,-,-,0,+,0,0
